City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Lircay,PE,-12.9896,-74.7205,42.37,91,58,1.97,broken clouds
323,Xingyi,CN,24.1877,102.817,75.07,73,56,2.39,broken clouds
324,Lyubytino,RU,58.8122,33.3922,57.67,57,24,6.98,few clouds
325,Codrington,AU,-38.2667,141.9667,50.83,68,100,15.68,light rain
326,La Ronge,CA,55.1001,-105.2842,70.05,78,90,4.61,smoke
327,Ixtapa,MX,20.7,-105.2,79.56,94,100,1.81,overcast clouds
328,Baruun-Urt,MN,46.6806,113.2792,86.95,40,100,14.81,light rain
329,Parrita,CR,9.5201,-84.3225,83.97,84,100,2.55,overcast clouds
330,San Quintin,MX,30.4833,-115.95,69.78,85,59,8.01,broken clouds
331,Calgary,CA,51.0501,-114.0853,71.02,43,20,11.5,smoke
332,Agnanteron,GR,39.4872,21.8456,73.18,46,0,3.22,clear sky
333,Turayf,SA,31.6725,38.6637,71.85,68,0,13.8,clear sky
334,Tumsar,IN,21.3833,79.7333,84.43,73,96,3.53,overcast clouds
335,Caloundra,AU,-26.8,153.1333,69.35,57,1,4.83,clear sky
336,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,5.01,broken clouds
337,Grenville,GD,12.1167,-61.6167,80.65,83,87,18.1,overcast clouds
338,Montevideo,UY,-34.8335,-56.1674,47.91,71,0,0.0,clear sky
339,Hami,CN,42.8,93.45,97.95,14,23,3.65,few clouds
340,Kapoeta,SS,4.7717,33.5903,76.77,63,68,6.35,broken clouds
341,Carangola,BR,-20.7331,-42.0294,57.02,92,57,1.61,broken clouds
342,Umuahia,NG,5.5263,7.4896,72.34,91,100,2.37,overcast clouds
343,Vung Tau,VN,10.346,107.0843,86.5,67,96,12.08,overcast clouds
344,Port Hedland,AU,-20.3167,118.5667,87.85,35,9,10.36,clear sky
345,Playas,EC,-2.6333,-80.3833,70.95,83,70,10.36,broken clouds
