City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Gallup,US,72.36,overcast clouds,35.5281,-108.7426,El Capitan Motel
474,Umm Lajj,SA,88.05,few clouds,25.0213,37.2685,Moon light Furnished Units
476,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
486,La Baule-Escoublac,FR,71.87,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
489,Aliartos,GR,79.86,clear sky,38.3667,23.1,Κήποι Αλιάρτου
492,Isla Mujeres,MX,82.47,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
493,San Antonio,US,77.16,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
494,Tarkwa,GH,70.21,broken clouds,5.3064,-1.9847,Te Deum Lodge
495,Sira,IN,73.04,overcast clouds,13.7453,76.9092,Sri Venkateshwara Lodge
499,Itarema,BR,78.17,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
500,Nidadavole,IN,79.11,light rain,16.9167,81.6667,Prasad home
502,Saiha,IN,81.43,broken clouds,22.4833,92.9667,"Circuit House, Siaha"
505,Mokhsogollokh,RU,82.42,clear sky,61.4681,128.9203,
506,Praia,CV,76.57,scattered clouds,14.9215,-23.5087,LT Aparthotel
510,Asyut,EG,86.18,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
513,Jinji,CN,87.42,overcast clouds,23.2281,110.8261,
514,Bongandanga,CD,72.57,overcast clouds,1.5,21.05,
515,Virginia Beach,US,75.25,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
516,Tuy Hoa,VN,89.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
518,Radhanpur,IN,87.1,overcast clouds,23.8333,71.6,YASH HOTEL
522,Jiuquan,CN,87.64,overcast clouds,39.7432,98.5174,Jiuquan Hotel
523,Noumea,NC,76.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
528,Sayat,TM,89.47,clear sky,38.7839,63.8803,
531,Champerico,GT,82.35,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
533,Pennagaram,IN,79.99,overcast clouds,12.1333,77.9,Ranga Lodge
536,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
537,Xining,CN,83.05,few clouds,36.6167,101.7667,Super Leisure Hotel
539,Aksha,RU,72.97,overcast clouds,50.2814,113.2867,
544,Kargasok,RU,77.41,broken clouds,59.0556,80.8572,Hotel Kargasok
546,Tinaquillo,VE,70.36,broken clouds,9.9186,-68.3047,Hotel Los Copihues
547,Padang,ID,86.09,broken clouds,-0.9492,100.3543,Mercure Padang
548,Fonte Boa,BR,76.35,overcast clouds,-2.4959,-66.2662,
549,Ninh Binh,VN,82.94,overcast clouds,20.2539,105.975,Kinh Do Hotel
552,Abu Samrah,SY,77.61,clear sky,35.3029,37.1841,
554,Boa Vista,BR,78.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
558,Waingapu,ID,85.93,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
563,Lahaina,US,80.6,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
565,Puerto Gaitan,CO,72.09,broken clouds,4.3133,-72.0816,Brisas del Yucao
566,Lazaro Cardenas,MX,80.28,scattered clouds,17.9583,-102.2,quinta antigua
571,Jalu,LY,79.0,clear sky,29.0331,21.5482,صاحبة الفخامة
572,Wajima,JP,86.68,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
575,Rach Gia,VN,76.95,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
579,Nanhai,CN,89.73,light rain,30.1282,111.7784,Jingnan Hotel
581,Dong Xoai,VN,86.9,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
582,Katsuura,JP,89.71,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
583,Xudat,AZ,88.47,scattered clouds,41.631,48.681000000000004,
584,Petropavlovka,RU,75.11,clear sky,50.6114,105.3196,Tuyaa
